The system shall refresh the display every 60 seconds, functional
The application shall match the color of the schema set forth by Department of Homeland Security, non-functional
If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30, non-functional
The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation, functional
If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100, non-functional
The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts, functional
The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product., non-functional
The product shall respond fast to keep up-to-date data in the display., functional
The system shall have a MDI form that allows for the viewing of the graph and the data table, functional
The system shall display Events in a vertical table by time, functional
The system shall display the Events in a graph by time, functional
The system shall display Events or Activities, functional
The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data tabl, functional
The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary dat, functional
The table side of the display shall be split into 2 regions: sequential and temporal, functional
The top 1/4 of the table will hold events that are to occur sequentially, functional
The bottom 3/4 of the table will hold events that occur according to its relevance to current time, functional
The system shall color code events according to their variance from current time, functional
The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 application, functional
The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications, functional
The system shall allow modification of the display, functional
The system shall offer a display of all the Events in the exercise, functional
The system shall filter data by: Venues and Key Events, functional
The system shall allow a user to define the time segment, functional
The system shall display the local and exercise time in separate clock, functional
The system shall offer the ability to pause and resume the refresh of data, functional
The system shall provide charts for the Activity or Event actual versus assumed time, functional
The system shall provide a history report of changes made to the Activity or Event dat, functional
The look and feel of the system shall conform to the user interface standards of the smart device., functional
The user interface shall have standard menus  buttons for navigation, functional
The system shall have a professional appearance, non-functional
The product shall have a consistent color scheme and fonts., non-functional
The system shall be used by realtors with no training., non-functional
The system shall be intuitive and self explanatory., non-functional
The product shall be easy for a realtor to learn., non-functional
The product shall use symbols and words that are naturally understandable by the realtor community., functional
The product shall produce search results in an acceptable time, functional
The search results shall be returned no later 30      seconds  after the user has entered the search criteria, functional
The product shall generate a CMA report in an acceptable time., functional
The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria., functional
The product shall synchronize contacts and appointments in an acceptable time., functional
The product shall synchronize with the office system every hour., functional
The product shall be available for use 24 hours per day  365 days  per yea, functional
Out of 1000 accesses to the system  the system is available 999 times, functional
The product shall operate in offline mode whenever internet connection is unavailable., functional
The product shall allow the user to view previously downloaded search results  CMA reports  and appointments., functional
The product shall retain user preferences in the event of a failure., functional
100% of saved user preferences shall be restored when system comes back online., functional
The product shall be able to support multiple remote users, functional
The product shall be able support 1000 simultaneous users., functional
The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year., functional
The product shall be installed by an untrained realtor   without recourse to separately-printed instructions., non-functional
90% of untrained realtors shall be able to install the product on their device without printed instructions, non-functional
The product is expected to run on Windows CE and Palm operating systems., functional
Only registered realtors shall be able to access the system., functional
Every user of the system shall be authenticated and authorized., functional
The product shall prevent its data from incorrect data being introduced., functional
The system shall allow a real estate agent to query MLS informatio, functional
The user shall be able to get driving directions to a selected propert, functional
The user shall be able to download appointments and contact information for client, functional
The system shall display clear property images in the search result, functional
The system shall update or create new property listings in the ML, functional
Realtor shall be able to generate a CMA report based on property criteri, functional
The system shall be able to call the seller or buyer to schedule an appointmen, functional
The realtor shall be notified of new client appointments after automatic synchronization with office syste, functional
The realtor shall be able to retrieve a map showing property locations for a specified are, functional
The system shall notify the realtor when a seller or buyer responds to an appointment reques, functional
The product shall allow the user to save the property search results, functional
The system shall be easy to use by the Program Administrators/Nursing Staff Members., non-functional
All of the users shall be able to use the system after one day of training., non-functional
The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students., non-functional
The number of mistakes noted by the students shall be decreased by 50% in the first year., non-functional
The system shall be intuitive to the Program Administrators/Nursing Staff Members., non-functional
2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals., non-functional
The system shall use symbols and words that are naturally understandable by the user community., functional
The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community., functional
Staff members shall be able to complete a set of tasks in a timely manner., non-functional
